編號,車站名稱,地址,緯度,經度
4290,大湖,高雄市路竹區甲南里天祐路 24 號 ,22.87821,120.25384
4300,路竹,高雄市路竹區竹南里中正路 288 號,22.85404,120.26619
4310,岡山,高雄市岡山區碧紅里岡燕路 111 號,22.79225,120.29981
4320,橋頭,高雄市橋頭區橋頭里站前街 14 號,22.76081,120.31017
4330,楠梓,高雄市楠梓區惠楠里建楠路 229 號,22.72717,120.32453
4340,新左營,高雄市左營區尾北里站前北路 1 號,22.68721,120.30721
4350,左營,高雄市左營區翠華路1050號地下1層,22.67441,120.29441
4360,內惟,高雄市鼓山區翠華路500號地下1層,22.66611,120.28691
4370,美術館,高雄市鼓山區翠華路246號,22.65298,120.28163
4380,鼓山,高雄市鼓山區鐵路街20巷6號,22.64169,120.28071
4390,三塊厝,高雄市三民區德北里6鄰康平街1號,22.63901,120.29381
4400,高雄,高雄市三民區港西里建國二路 318 號,22.63801,120.30313
4410,民族,高雄市三民區博惠里14鄰凱旋一路260號,22.63881,120.31479
4430,正義,高雄市三民區建軍里正義路 308 巷,22.63425,120.34245
4440,鳳山,高雄市鳳山區曹公里曹公路 137 號,22.63131,120.35746
4450,後庄,高雄市大寮區後庄里民慶街 9 號,22.64013,120.39132
4460,九曲堂,高雄市大樹區久堂里久堂路鐵路巷 15 號,22.65658,120.42072
